"Species name","IUCN","FUSE","EDGE2"
"Hexanchus_nakamurai","2","1","1"
"Hexatrygon_bickelli","2","1","1"
"Himantura_leoparda","1","1","1"
"Himantura_uarnak","1","1","1"
"Himantura_undulata","1","1","1"
"Holohalaelurus_favus","3","1","1"
"Holohalaelurus_grennian","4","2","1"
"Holohalaelurus_melanostigma","3","1","1"
"Holohalaelurus_punctatus","2","1","1"
"Holohalaelurus_regani","3","1","1"
"Hongeo_koreana","3","1","1"
"Dasyatis_americana","4","2","1"
"Dasyatis_dipterura","3","1","1"
"Dasyatis_guttata","4","2","2"
"Dasyatis_longa","4","2","1"
"Dasyatis_marianae","3","1","1"
"Dasyatis_rudis","4","2","1"
"Dasyatis_sabina","4","2","1"
"Dasyatis_say","1","1","1"
"Hypnos_monopterygius","4","2","1"
"Hypogaleus_hyugaensis","4","2","1"
"Iago_garricki","1","1","1"
"Iago_omanensis","4","2","1"
"Indobatis_ori","4","2","1"
"Insentiraja_laxipella","4","1","1"
"Insentiraja_subtilispinosa","2","1","1"
"Irolita_waitii","4","1","1"
"Irolita_westraliensis","1","1","1"
"Isistius_brasiliensis","1","1","1"
"Isistius_plutodus","4","1","1"
"Isogomphodon_oxyrhynchus","1","1","1"
"Isurus_oxyrinchus","5","1","2"
"Isurus_paucus","1","1","1"
"Lamiopsis_temminckii","1","1","1"
"Lamna_ditropis","1","1","1"
"Lamna_nasus","1","1","1"
"Leptocharias_smithii","1","1","1"
"Leucoraja_circularis","1","1","1"
"Leucoraja_compagnoi","1","1","1"
"Leucoraja_erinacea","1","1","1"
"Leucoraja_fullonica","3","1","1"
"Leucoraja_garmani","1","1","1"
"Leucoraja_lentiginosa","1","1","1"
"Leucoraja_leucosticta","5","5","1"
"Leucoraja_melitensis","4","5","2"
"Leucoraja_naevus","4","5","2"
"Leucoraja_ocellata","4","2","1"
"Leucoraja_pristispina","1","1","1"
"Leucoraja_wallacei","3","1","1"
"Leucoraja_yucatanensis","3","1","1"
"Loxodon_macrorhinus","4","1","1"
"Himantura_astra","1","1","1"
"Himantura_gerrardi","1","1","1"
"Himantura_pastinacoides","3","1","1"
"Himantura_randalli","1","1","1"
"Himantura_toshi","1","1","1"
"Malacoraja_kreffti","2","1","1"
"Malacoraja_obscura","5","1","1"
"Malacoraja_senta","1","1","1"
"Malacoraja_spinacidermis","4","1","1"
"Megachasma_pelagios","1","1","1"
"Dasyatis_microps","3","1","1"
"Mitsukurina_owstoni","1","1","1"
"Manta_alfredi","2","1","1"
"Manta_birostris","1","1","1"
"Mobula_kuhlii","1","1","1"
"Mobula_hypostoma","3","1","1"
"Mobula_mobular","1","1","1"
"Mobula_munkiana","3","1","1"
"Mobula_tarapacana","4","4","1"
"Mobula_thurstoni","1","1","1"
"Mustelus_albipinnis","1","1","1"
"Mustelus_antarcticus","4","4","1"
"Mustelus_asterias","4","4","1"
"Mustelus_californicus","4","4","1"
"Mustelus_canis","3","1","1"
"Mustelus_dorsalis","4","4","1"
"Mustelus_fasciatus","4","4","1"
"Mustelus_griseus","1","1","1"
"Mustelus_henlei","1","1","1"
"Mustelus_higmani","2","1","1"
"Mustelus_lenticulatus","1","1","1"
"Mustelus_lunulatus","2","1","1"
"Mustelus_manazo","3","1","1"
"Mustelus_mento","5","2","1"
"Mustelus_minicanis","4","2","1"
"Mustelus_mosis","1","1","1"
"Mustelus_mustelus","4","2","1"
"Mustelus_norrisi","1","1","1"
"Mustelus_palumbes","1","1","1"
"Mustelus_punctulatus","4","1","1"
"Mustelus_ravidus","5","1","1"
"Mustelus_schmitti","4","1","1"
"Mustelus_sinusmexicanus","2","1","1"
"Mustelus_stevensi","4","1","1"
"Mustelus_walkeri","2","1","1"
"Mustelus_whitneyi","1","1","1"
"Mustelus_widodoi","3","1","1"
"Myliobatis_californica","1","1","1"
"Myliobatis_chilensis","5","1","1"
